Фамилия_Номер_покупки,Продукт,Стоимость,Тип,Время покупки
Байдаков_1,Сидр,275,Алкоголь,3:45
Байдаков_1,Сигареты,102,Сигареты,3:46
Байдаков_2,Пиво,730,Алкоголь,23:20
Байдаков_2,Чипсы,132,Фастфуд,23:21
Байдаков_2,Сухарики,90,Фастфуд,23:22
Байдаков_3,Фарш,420,Еда,18:15
Байдаков_3,Макароны,135,Бакалея,18:15
Байдаков_3,Томаты,170,Еда,18:15
Байдаков_3,Огурцы,140,Еда,18:15
Байдаков_4,Сидр,268,Алкоголь,4:10
Байдаков_4,Сигареты,100,Сигареты,4:11
Байдаков_5,Пиво,1450,Алкоголь,1:30
Байдаков_5,Чипсы,130,Фастфуд,1:31
Байдаков_6,Фарш,400,Еда,17:40
Байдаков_6,Курица,380,Еда,17:40
Байдаков_6,Макароны,130,Бакалея,17:40
Байдаков_7,Сидр,270,Алкоголь,2:55
Байдаков_7,Сигареты,105,Сигареты,2:56
Байдаков_8,Пиво,720,Алкоголь,0:15
Байдаков_8,Сухарики,88,Фастфуд,0:16
Байдаков_9,Фарш,410,Еда,19:05
Байдаков_9,Макароны,138,Бакалея,19:05
Байдаков_9,Соус,245,Соус,19:05
Байдаков_10,Сидр,272,Алкоголь,3:30
Байдаков_10,Сигареты,101,Сигареты,3:31
Байдаков_11,Пиво,740,Алкоголь,23:55
Байдаков_11,Чипсы,128,Фастфуд,23:56
Байдаков_12,Пиво,710,Алкоголь,1:45
Байдаков_12,Сухарики,92,Фастфуд,1:46
Байдаков_13,Фарш,415,Еда,18:25
Байдаков_13,Курица,375,Еда,18:25
Байдаков_13,Салат,180,Еда,18:25
Байдаков_14,Сидр,278,Алкоголь,4:20
Байдаков_14,Сигареты,103,Сигареты,4:21
Байдаков_15,Пиво,1500,Алкоголь,0:40
Байдаков_15,Чипсы,135,Фастфуд,0:41
Байдаков_15,Сухарики,89,Фастфуд,0:42
Байдаков_16,Сидр,265,Алкоголь,3:15
Байдаков_16,Сигареты,100,Сигареты,3:16
Байдаков_17,Пиво,725,Алкоголь,23:10
Байдаков_17,Чипсы,130,Фастфуд,23:11
Байдаков_18,Фарш,405,Еда,17:50
Байдаков_18,Макароны,132,Бакалея,17:50
Байдаков_19,Сидр,280,Алкоголь,4:30
Байдаков_19,Сигареты,104,Сигареты,4:31
Байдаков_20,Пиво,1480,Алкоголь,1:10
Байдаков_20,Чипсы,133,Фастфуд,1:11
Байдаков_21,Фарш,425,Еда,18:40
Байдаков_21,Курица,390,Еда,18:40
Байдаков_22,Сидр,270,Алкоголь,3:00
Байдаков_22,Сигареты,102,Сигареты,3:01
Байдаков_23,Пиво,735,Алкоголь,23:45
Байдаков_23,Сухарики,91,Фастфуд,23:46
Байдаков_24,Фарш,400,Еда,19:20
Байдаков_24,Макароны,136,Бакалея,19:20
Байдаков_25,Сидр,275,Алкоголь,4:00
Байдаков_25,Сигареты,103,Сигареты,4:01
Байдаков_26,Пиво,730,Алкоголь,0:50
Байдаков_26,Чипсы,131,Фастфуд,0:51
Байдаков_27,Фарш,418,Еда,18:00
